ID	log2fc	sterr	pval	padj	method
74b812415f134eb4980bbdfc764466c7	-0.097	0.369	0.788	NA	DESeq2
8a7e967934c9edc0baf8aabbc18ea3bc	-0.046	0.556	0.935	NA	DESeq2
f932c5cbf3b59a3d28f733e8835cd6f7	0.376	0.554	0.500	NA	DESeq2
af4ffd9d50da8941821aa1b504309ce4	-0.213	0.385	0.590	NA	DESeq2
7803e147e2f136a8eef773de51902eec	0.009	0.463	0.985	NA	DESeq2
4ed8f8fe598ed0de37588391ba9fab8a	0.119	0.380	0.747	NA	DESeq2
96dcda0afdd757ae960cc257a3ea3baf	0	0	1	NA	DESeq2
5b3d1b3501de9f08dedd315bf71e4fb8	-0.124	0.510	0.809	NA	DESeq2
9227063050777114f416c245b77a4c2e	-0.122	0.517	0.814	NA	DESeq2
368480d48fcf86f93a946cedc8eeb25e	-0.169	0.369	0.692	NA	DESeq2
f0476dca3d200b90490e20e27376d58d	0.348	0.357	0.331	0.995	DESeq2
0de3ca52aed5c5882ee5d602b8b13d3b	-0.330	0.527	0.531	0.995	DESeq2
feb2bf9d8f55049e2c9ebb29c171b9d7	0.764	0.546	0.066	0.874	DESeq2
1e6a76aac876e2db817ab3ff59b2b73f	-0.306	0.450	0.773	NA	DESeq2
f5651be1508451ca50bb4b4e6d22a48a	0	0	1	NA	DESeq2
8f638ac7f127f6ead5dfae5662f4facf	0.788	0.543	0.147	NA	DESeq2
0a859c590216d53520a8d96c51c610c3	0	0	1	NA	DESeq2
a24c463e3d639939bb84c8b496d9760c	0.302	0.538	0.572	NA	DESeq2
69f1e7f664b902d71b1f47b471dc6818	-0.315	0.373	0.184	NA	DESeq2
91f35622b28a66597f3f95a6ff38b530	-0.252	0.416	0.158	NA	DESeq2
eeca547b20b7c291bda1ec046cf343d7	-0.110	0.369	0.758	NA	DESeq2
0277102a716eb4b29c955229c1f0bd05	-0.311	0.373	0.388	NA	DESeq2
54d60292089b18bef42f2827b9b47b5c	0.034	0.538	0.950	NA	DESeq2
4263d8c75275d2d23dd5863129f2a317	0.394	0.545	0.468	NA	DESeq2
c7b69ff9f32b844afba2b05dce3cfb3a	-0.209	0.465	0.654	NA	DESeq2
77a1be56413b28396632ba0e5459d2e2	0	0	1	NA	DESeq2
b02832d2885cc15f2d527e5196240109	-0.182	0.543	0.737	NA	DESeq2
df25e08efec64fdffd8a5937db6e7016	-0.465	0.507	0.358	NA	DESeq2
bd7708ea098ca95f13ed85fa6653f548	0.404	0.524	0.441	NA	DESeq2
d765b57b216d52f666639be13a4c151a	-0.374	0.486	0.452	NA	DESeq2
966114f7815f726402d98992bd27c0cd	-0.236	0.369	0.591	NA	DESeq2
6a0a796e983996cb53f9b0b935aabbd9	0.095	0.369	0.795	NA	DESeq2
75cf5455c679ae9954c1da6e85a2bbe0	0.074	0.369	0.855	NA	DESeq2
f34d606ba4846337949b09d27df19ad2	0.008	0.496	0.988	NA	DESeq2
66dff2fdb51112383ab0e7805e79b275	0.060	0.369	0.889	NA	DESeq2
1ed9a209b367fd8ef3ea6a16869fb522	0.178	0.509	0.725	NA	DESeq2
566e22f1997363f75206243267421078	-0.242	0.534	0.649	0.995	DESeq2
9c9c3ae63b62a460e5540854276817a2	0.385	0.536	0.467	NA	DESeq2
89f4555874c1c8448806c58e85b5626e	0.197	0.540	0.712	NA	DESeq2
af43e4e2dedb301ca5163f13d85e965d	0.508	0.539	0.338	NA	DESeq2
520d823d6dab52809722d4018de0ddca	-0.215	0.401	0.246	0.995	DESeq2
a2b8bcd5162592297ed984655c5ae58b	0.074	0.465	0.875	NA	DESeq2
157a0bc003e9df7829f35bd01e666143	-0.515	0.529	0.330	NA	DESeq2
a8827a2104fcc149de49d2ac93f63320	0.209	0.371	0.728	NA	DESeq2
af2e03417c3f1c9dfeb95a930389e2e7	0.442	0.556	0.425	NA	DESeq2
30b6f32f00fcad957a09afa53b5d9c08	-0.625	0.552	0.256	NA	DESeq2
f71e3ac155445dc51e3a7c3cc44709a0	0.112	0.555	0.841	NA	DESeq2
8b0fafad2af16153774df8076fab79bc	0.127	0.413	0.752	NA	DESeq2
f3649bfd409e82370b9ca4867a89f9b4	-0.097	0.369	0.788	NA	DESeq2
dd4060699d04d07061586001ea39bb77	0.109	0.516	0.831	NA	DESeq2
4abd0d7a06010de8841de2a7c52d2c82	0.093	0.482	0.849	NA	DESeq2
5292228b79febd5acb1a7caac5f72731	-0.085	0.369	0.817	NA	DESeq2
ab3b4b3bca566a107f7097e45d3527e2	0.064	0.369	0.863	NA	DESeq2
832a2524b48db66e0b03f8270948d018	-0.483	0.484	0.318	0.995	DESeq2
9e02fa6561abc635e886d564de7717be	-0.096	0.412	0.807	NA	DESeq2
33a6ec92b2fb27bcbe4d1f461d794aa7	0.343	0.546	0.531	NA	DESeq2
191a2386bb9ccf759a9d5d1b71eb82c4	0	0	1	NA	DESeq2
d6d6b7a6fd5053332cfb3c9bbedd0153	0.254	0.546	0.642	NA	DESeq2
d12e705ff9658422ec4d78e0ed45e1e9	-0.156	0.481	0.753	NA	DESeq2
a22f3b2af9547a6b06f16c93b5383087	-0.182	0.551	0.741	NA	DESeq2
2a68b14fd31dbe3452da79d5fd2fab0d	-0.011	0.441	0.981	NA	DESeq2
79351d6dc0481c7c1a5ec3002c5bb30b	0.454	0.514	0.374	NA	DESeq2
2c31f1aa3cb255c8bf9b4f9d4d8a3ac5	-0.190	0.498	0.702	NA	DESeq2
4416c2c19656c30421e46ba37639afa4	0.284	0.369	0.812	NA	DESeq2
e17c38f6148e6f0ae8ccf0b3efcee2c7	0.029	0.368	0.937	0.995	DESeq2
f7421520559300aec6236e6f603c6f00	-0.072	0.369	0.845	NA	DESeq2
e45b8f8109d2510bd86f8e20c113f271	0.229	0.483	0.635	NA	DESeq2
fef66d1a6c82c3be8bbea683b2af00a0	-0.307	0.556	0.580	NA	DESeq2
c007f1fd4845b295287af75d04830d3d	0.278	0.552	0.614	NA	DESeq2
e7e82a83e8d2fa64adddb5667679957e	0.264	0.468	0.454	NA	DESeq2
3a1bbea94402b883002265a325a704e9	-0.022	0.369	0.952	NA	DESeq2
a91d418ab139f6607b986f6a6588c2e7	-0.358	0.552	0.518	NA	DESeq2
2c622d6bc2c837dbdc04330bb1db4031	0.241	0.487	0.621	0.995	DESeq2
47f91cff14b1fcc00b34fad3d02be7aa	0.327	0.522	0.533	NA	DESeq2
