ID	log2fc	sterr	pval	padj	method
a4e3412f19bae543184b7ee353711e30	2.187	0.343	0.205	0.292	DESeq2
4673065a2d04c05374a89d2cfdcf68c2	0.402	0.312	0.198	0.292	DESeq2
319412737efae4ec36f93f4db011de0e	-0.354	0.316	0.266	0.368	DESeq2
da513503b2ff56009fc8a578c819ebcb	-0.348	0.326	0.287	0.389	DESeq2
7c4c61a0c83567367786e514df40a21b	-0.297	0.317	0.350	0.464	DESeq2
a418705a2b62c68553ceec65922142a4	-0.290	0.327	0.376	0.469	DESeq2
511bd796069111a3a3e99c2d13907211	-0.291	0.325	0.371	0.469	DESeq2
fe69850846e2271a5906e8d2d8c09040	-0.295	0.332	0.374	0.469	DESeq2
8d3e983e728259a88863f948e5dbe94b	-0.262	0.329	0.427	0.521	DESeq2
135cd9f50ac1631b9e504edeb830d683	-0.185	0.316	0.557	0.667	DESeq2
ca8c1cc094272e70ff21f563a2af81c3	1.617	0.341	0.582	0.671	DESeq2
9bfd7d6705ff77f170d74bd7d21e15c7	-0.177	0.323	0.583	0.671	DESeq2
76dc3809d214159c017b2f987364f7e0	0.162	0.332	0.625	0.706	DESeq2
e5750ae962ff61732a057356b169fd21	0.145	0.326	0.656	0.721	DESeq2
22aea799615e8e1467f7b56605053545	-0.132	0.314	0.674	0.721	DESeq2
872b2757f7ef15b1ef26b3f9936bcf31	0.138	0.322	0.668	0.721	DESeq2
643e1fe5e4374e56b15854c0ab8bd517	0.112	0.336	0.739	0.777	DESeq2
2ea15125b3c28f70f4e9b2011fb1b32e	2.175	0.321	0.888	0.918	DESeq2
760b5cda1cd383fa43af2dd6f6b06672	0.901	0.305	0.919	0.935	DESeq2
97e3be015d0ad3c9c56ccbd57f9c0feb	-0.024	0.322	0.941	0.941	DESeq2
9880373d82d00984bcfd9dddced13e34	3.812	0.250	0.988	NA	DESeq2
0c0cca5bec99fb78e2bb61c3935b025d	-3.390	0.258	0.899	NA	DESeq2
de7864dafea9b68a565a62c31bc8339e	-0.285	0.321	0.377	NA	DESeq2
2b59d468bbdb1f86c22fcebd61f5d5cb	-0.249	0.321	0.439	NA	DESeq2
2bc5d4320e54797a39359dc0676cf450	8.056	0.225	0.778	NA	DESeq2
33be679a5c7b7bff076243989c33712f	6.539	0.230	0.988	NA	DESeq2
cf16828665dee40dfa4b6bade4cf21ef	0.340	0.318	0.287	NA	DESeq2
5cce1abb68c73f8fd159aaf92e2afde9	-8.299	0.201	0.988	NA	DESeq2
1cc1bac06496093e1f4903bb981b67a4	1.762	0.280	0.988	NA	DESeq2
31415f8d3595a43846a89317548511ce	1.653	0.282	0.988	NA	DESeq2
fd6ff46f1b85f9ed17f80fe98868119c	-3.372	0.258	0.899	NA	DESeq2
0c5de29041b1bcfe2010ba9bde32f320	4.724	0.242	0.988	NA	DESeq2
1b0539acdc7399feee3aaebdd5e61067	5.105	0.239	0.865	NA	DESeq2
e71fb4db708f786a39f0bf2bd9b6e50b	-0.134	0.323	0.678	NA	DESeq2
62da65200185b257193a5e6d38677242	-1.291	0.292	0.899	NA	DESeq2
0df685ffc0887a530be9364c346bad5e	-5.590	0.238	0.899	NA	DESeq2
bb33b229f3d1ca9a24f2615fab635d38	-0.175	0.264	0.252	NA	DESeq2
da230b788ed11070ab619cf95eec6577	0.263	0.320	0.413	NA	DESeq2
bd26e97e57ceb47cf6ab7d5b5e947f62	0.176	0.319	0.582	NA	DESeq2
92e7c471bf50233a39a459ff5b204b3e	-0.568	0.317	0.077	NA	DESeq2
2c18fa52b1be278e8fbf731b531e3174	-0.801	0.304	0.899	NA	DESeq2
071be45c44bec0f49b498f73b15dd3d2	7.462	0.225	0.988	NA	DESeq2
e87dc9cc994d0c5c48a42ee91aae6eae	3.719	0.251	0.322	NA	DESeq2
9c7970c0800382fbe01230164e6149fb	-5.425	0.240	0.988	NA	DESeq2
c1f96ac17ac6c32cbf88341fce4c8d9d	5.421	0.237	0.988	NA	DESeq2
e36a239a30b387e78c09e274444e016c	3.790	0.251	0.988	NA	DESeq2
2e3c54c72de596f4c4009971b90895d7	3.215	0.257	0.988	NA	DESeq2
c0c4bc43d1ba371268726299b45b754a	-1.130	0.295	0.899	NA	DESeq2
2ffde79d725e60b058bde836132af683	3.525	0.264	0.291	NA	DESeq2
9e58e4736ae679b38ae8de9b3fc3d7ee	0.180	0.321	0.575	NA	DESeq2
983cf9a4e7016105283f24743d919f25	-0.174	0.322	0.589	NA	DESeq2
f159675a1296aa9d383e4ab3f9407619	-0.352	0.321	0.275	NA	DESeq2
af7a6845c73f4a26d0abf34aef9a2a64	3.882	0.249	0.865	NA	DESeq2
325f464ad49685c1e5420d17aa147d15	1.568	0.286	0.575	NA	DESeq2
7d2ea1f51c60d58d0660446d4774a59a	4.495	0.244	0.988	NA	DESeq2
b663b0cd551ba980221251a789b6e206	-3.133	0.142	0.785	NA	DESeq2
faef5307d71a48c6d6d40336c90c8d60	-8.615	0.221	0.899	NA	DESeq2
