"","V1"
"X450fb80a8aa341cdf33eee2dac5fe23b",0;0572768124196057
"X3123b5aa3c0f158260f64b2832af8167",0;100807189858506
"X7f6f04cff14b6c730f64324e546e2d6b",0;0114553624839211
"X579e5bbf5706c28209744c33484c4b8c",0;0183285799742738
"X7ff01134216b54c40a3d44f59c565338",0;0733143198970953
"X45c35d69f417bd7d4cbe61dd5a0f083e",0;0962250448649376
"X149b57f90ba9fdc1aa38b84570147bd9",0;05956788491639
"X9bfd7d6705ff77f170d74bd7d21e15c7",0;00458214499356846
"X4673065a2d04c05374a89d2cfdcf68c2",0;176412582252386
"efd61c8a200b0dfb04999c1cbc4a509f",0;0274928699614107
"X5f3b8380fd0ae0e537a43b002c4e7a67",0;0641500299099584
"X38bad4cf4a320d649be0d854b3cf98be",0;0618589574131742
"X9a8798b380171e379eb66ee08e76ece1",0;123717914826348
"X6a7a5b8592e878c6065ab49055907e1a",0;0366571599485477
"X0fa5da88bc26c3d497597b2ecbf33634",0;0824786098842322
"X8b268033f40f7b9e9f0a33d71e9c1936",0;0274928699614107
"X99bf847cdf4b42889ec796b79dff8c25",0;0252017974646265
"X5efce6b21a9c05541f7e777341156e96",0;0893518273745849
"X4f39ef900d88365c3eac06f13c776b8f",0;00458214499356846
"b5f3ca43eee20152738a029642f31149",0;0274928699614107
"a992aa1cc0c433a9e86e33cbc0489c4b",0;0893518273745849
"c50d9f53af04313b5497bb9c55275c7c",0;0343660874517634
"fe1557e7eea603d3e9a1356de4c894f1",0;128300059819917
"X872b2757f7ef15b1ef26b3f9936bcf31",0;0458214499356846
"X7815ca3b2d75f9ff6a3589a9dea5b8c6",0;0481125224324688
"X4f59249301b989a2e45240235f71f3d2",0;0962250448649376
"X511bd796069111a3a3e99c2d13907211",0;0939339723681534
"X3a12705bdb700b87026ea27254e8fa89",0;114553624839211
"X369977194325fa77afd733d37c92c63d",0;0526946674260373
"X78e3be9fa222d3a314799a1a883f6b66",0;123717914826348
"X825f13155fdb6aff8a51b2e23783d436",0;0687321749035269
"X79211df1215da97e2f8277d6b2222fe2",-0;0137464349807054
"X3595b98686ee678c017f6a39f2ba8e7e",0;114553624839211
"X8886b2b13e2ddffa6f24c3ba02bde095",0;0481125224324688
"X127a70b0f52e8c85609ada55978456d9",0;050403594929253
"b7b6c3fd8f90372ec9ab4e7bd7df8507",0;139755422303838
"X8d3e983e728259a88863f948e5dbe94b",0;155792929781328
"b53ede99325c8616840fa8e938464d7e",0;361989454491908
"X116156fee4dfb6a544121c9b98a23c74",0;148919712290975
"b18075a005d898e4fefada059d7e1684",0;0778964648906638
"abb48f98cc76cbfd884b85cb99cf2af1",0;158084002278112
"X66784a97073d9affb5b9dd057c7d5195",0;0412393049421161
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",0;080187537387448
"dc47c740766072a818fc135fbbb85402",-0;109971479845643
"X04fee52d3a95545eea1c45e2e63ce362",-0;00687321749035269
"f342e124ffe9a9d3e0e492ff00ed674e",0;0320750149549792
"b77627ad049c7569beb5e5bb351b9a50",0;112262552342427
"X645108570a0870b22f3289c5b82bf22e",0;142046494800622
"X7c4c61a0c83567367786e514df40a21b",0;139755422303838
"fe69850846e2271a5906e8d2d8c09040",0;0526946674260373
"X71d1bd285cdf78ebfd3ef9d9c9a40241",0;116844697335996
"X0420d390149c22d99f06f042f8e82022",0;00916428998713692
"d3ab276830b02edd6977f850f0ef8caa",0;00916428998713692
"d9b3a569d44a34c6a764a5a298219d08",-0;0183285799742738
"X5507ca21e75b9dee479d164ae91bf887",0;114553624839211
"ba01d82683535dedddbe18c540d309be",0;0458214499356846
"X890b0fb43b36350b30ca02829f3e91ad",0;0412393049421161
"X543d211dd0ff4f6d0066ec3850ed5082",0;0687321749035269
"X461c2b20bd5c233dcac34fc89ce1a66f",0;146628639794191
"X93dc6bb121df4cf4164c024ac00012b4",0;0572768124196057
"b88919456fa9bc9afe13c91708403a1b",0;0893518273745849
"X317082b6c8a20c520c8e26de3ce89caa",0;0687321749035269
"X5ae1f1acc18efc7823c3415d779b0385",0;0756053923938796
"d0663dc6e98d4272e5c13d317fed72cc",-0;0756053923938796
