"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"e3eb7f52eef0ad7aec4db88af12eb3cd",2,20,6,14,0.122982269323733,0.960043624826492
"e5750ae962ff61732a057356b169fd21",1,21,2,18,0.597560975609756,1
"e71fb4db708f786a39f0bf2bd9b6e50b",1,21,0,20,1,1
"e74ee435c566d594cc9526383adf5792",2,20,1,19,1,1
"e87dc9cc994d0c5c48a42ee91aae6eae",1,21,1,19,1,1
"ea16290abb78a15048ba32ff78200ec5",1,21,0,20,1,1
"ea4f3d7471d698fb962e28a5f213caf2",0,22,1,19,0.476190476190476,0.960043624826492
"ee0d28cca895e4a213be07178c2fefba",1,21,0,20,1,1
"ee297847e00487e7f148dc495efc4ebe",0,22,1,19,0.476190476190476,0.960043624826492
"f159675a1296aa9d383e4ab3f9407619",1,21,0,20,1,1
"f7b11f46a4c69e77e82476e16e9df760",7,15,3,17,0.284164089042138,0.960043624826492
"f8549988d995f078ce28eccc60deff7b",1,21,0,20,1,1
"faef5307d71a48c6d6d40336c90c8d60",1,21,0,20,1,1
"fd6ff46f1b85f9ed17f80fe98868119c",1,21,0,20,1,1
"fe1557e7eea603d3e9a1356de4c894f1",1,21,0,20,1,1
"fe69850846e2271a5906e8d2d8c09040",2,20,1,19,1,1
