"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"99bf847cdf4b42889ec796b79dff8c25",1;18425156869923,-5;71236292156171,0;232944824507359,-0;0200635236134085,0;983992698223924,NA
"5efce6b21a9c05541f7e777341156e96",1;72116702166959,-7;33743568378854,0;253940837061784,2;40207644390608,0;0163023012954368,0;0503574148314572
"4f39ef900d88365c3eac06f13c776b8f",1;7046239603821,-0;642067292792435,0;324975593652987,-1;96594848198601,0;0493045619298679,0;115043977836359
"b5f3ca43eee20152738a029642f31149",1;37919290086268,-5;74955411328913,0;206955787867464,-1;09199551375084,0;274835073076721,NA
"a992aa1cc0c433a9e86e33cbc0489c4b",1;18425156869923,1;96578933254372,0;273062242295331,-0;0200635236134085,0;983992698223924,NA
"c50d9f53af04313b5497bb9c55275c7c",1;37858504382055,-1;06347632892731,0;292168284337845,-0;631625820998817,0;527631409953214,NA
"fe1557e7eea603d3e9a1356de4c894f1",1;63838893516384,-0;179212261945356,0;316016689269672,-0;566941806223698,0;570753719489999,0;644399360714515
"872b2757f7ef15b1ef26b3f9936bcf31",42;2102375513802,0;0270077771058423,0;338197100643987,0;079858919810657,0;936349462675236,0;958880244955254
"7815ca3b2d75f9ff6a3589a9dea5b8c6",1;18425156869923,-2;93385368839658,0;256008951899379,-0;0200635236134085,0;983992698223924,NA
"4f59249301b989a2e45240235f71f3d2",1;16264024312233,4;9161729374869,0;23948964958316,-0;149428796241269,0;881215290694908,NA
"511bd796069111a3a3e99c2d13907211",1;58738794890539,0;479728153354805,0;320911442916636,1;48904796020001,0;136474739883827,0;219987086982327
"3a12705bdb700b87026ea27254e8fa89",1;827513786183,0;440763573568956,0;318803559272106,1;37881131328511,0;167952937659295,0;244931367419805
"369977194325fa77afd733d37c92c63d",2;25891876592848,0;061682792993514,0;337640693030838,0;182671950791832,0;855055425431606,0;897808196703186
"78e3be9fa222d3a314799a1a883f6b66",2;67206616641195,1;66662209293513,0;317373793773741,-0;0471969556736348,0;96235625384059,0;96235625384059
"825f13155fdb6aff8a51b2e23783d436",1;18425156869923,1;13996211673044,0;182522374194589,-0;0200635236134085,0;983992698223924,NA
"79211df1215da97e2f8277d6b2222fe2",1;59415750220582,-8;40446744937168,0;242388869971874,0;453374678364351,0;65027896680446,0;718729384362824
"3595b98686ee678c017f6a39f2ba8e7e",1;37939276043906,0;330497511669275,0;322574928079029,1;02222554245978,0;306674164268061,NA
"8886b2b13e2ddffa6f24c3ba02bde095",3;4679171375083,-0;032877764381772,0;37033075571771,-0;0887805604981363,0;929256307151028,0;958880244955254
"127a70b0f52e8c85609ada55978456d9",1;4755710658693,-0;681055466480713,0;287550333589415,1;45520248641174,0;145613212761303,0;228199811043834
"b7b6c3fd8f90372ec9ab4e7bd7df8507",1;45476253035715,6;77523927064546,0;248972848754152,1;37393374810863,0;169462251320406,NA
"8d3e983e728259a88863f948e5dbe94b",20;1129138922214,0;59350176152315,0;360810511333269,1;64518240833119,0;0999322001795705,0;187372875336695
"b53ede99325c8616840fa8e938464d7e",11;4243825271811,1;16710111355441,0;381473221071016,3;05994509039251,0;00221377574559729,0;0092978581315086
"116156fee4dfb6a544121c9b98a23c74",993;93846809938,0;107519443131234,0;438019351903119,-0;921839503237442,0;356612298720071,0;440146776524007
"b18075a005d898e4fefada059d7e1684",1;16259478450912,1;88458471217539,0;274440472894712,-0;14944558737398,0;881202042068994,NA
"abb48f98cc76cbfd884b85cb99cf2af1",3;59214557771381,0;078756175151846,0;34426725970877,0;228747967296974,0;819064810546892,0;868705102095188
"66784a97073d9affb5b9dd057c7d5195",1;59381762241511,-0;641280390820123,0;331388230677855,-1;92482157628798,0;0542516837317591,0;123835365039885
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",1;16252480082228,4;83970362535494,0;240000776445807,-0;149471305122365,0;881181750183314,NA
"dc47c740766072a818fc135fbbb85402",11;135501746159,-3;92752327738875,0;410175799772303,-6;4397368123108,1;19680848200996e-10,1;04720742175872e-09
"04fee52d3a95545eea1c45e2e63ce362",1;48749364095349,-3;21336194330407,0;241211498955695,-1;5401949074154,0;123512850881925,0;212604087583641
"f342e124ffe9a9d3e0e492ff00ed674e",1;50810585094901,-0;537042893136279,0;326976041029039,-1;63589281559541,0;101862021876567,0;187640566614728
"b77627ad049c7569beb5e5bb351b9a50",1;18425156869923,0;854630959666765,0;3006176999776,-0;0200635236134085,0;983992698223924,NA
"645108570a0870b22f3289c5b82bf22e",1;28829424625997,2;96027468219973,0;260533586523654,0;583587628275746,0;559497785757,NA
"7c4c61a0c83567367786e514df40a21b",1;63571971790826,0;67177317788621,0;31992195321398,2;08445752252379,0;0371185701822825,0;0927964254557062
"fe69850846e2271a5906e8d2d8c09040",1;78969531392923,0;207431595240268,0;343684380545769,0;603236281784449,0;546351514500609,0;623553358940913
"71d1bd285cdf78ebfd3ef9d9c9a40241",8;94532095762246,3;65349222967404,0;405348173145991,5;81714065747155,5;98627677608928e-09,4;19039374326249e-08
