"","average","sd","ratio","ava","avb","cumsum","p","padj"
"b43efa7a6dc43aecb8d4bfff0c5e0035",0;00075932176717323,0;000675155944598646,1;12466130713641,0;00116408773748016,0;00173239811355084,0;277007497510763,0;072,1
"ef5f475eba57b7b4b2a06650b5859d04",0;000755935208666891,0;00113459134118745,0;666262099158748,0;000870801680253828,0;0010282019269253,0;278293614799905,0;985,1
"b2a756770d670fed07daff8c91b09fc3",0;000754182766028956,0;000839044369475906,0;898859218255696,0;000885884888303786,0;00116423506849924,0;279576750554718,0;528,1
"1f610dfe8a4f7cc60d971ed834128a0b",0;000749010816561835,0;000970289157496597,0;771945982055831,0;00127032228131388,0;00110785998532056,0;280851086965948,0;863,1
"3afc13c346e139037ef4512606a08194",0;000746052837473896,0;000604501755455689,1;23416157313142,0;00190334093846315,0;00222139399178824,0;282120390792371,0;171,1
"51cebbac1992efd933d30e4462c406d1",0;000737059965139713,0;000595972252160916,1;2367353722715,0;00222422707160458,0;00192523580962429,0;283374394513103,0;818,1
"a0598fa6f3589a41108fabf921b4af01",0;000729034273462491,0;002860923566634,0;254824799223921,0;00127519004769322,0;000281270635470163,0;284614743649811,0;947,1
"0ed5b99a4aeca8b560ae63673cb7db5b",0;000728483627691729,0;000930947537810682,0;782518453622972,0;000985177173527691,0;00116385651492678,0;285854155940295,0;758,1
"7a1e1b603bb85fe09508717b96deca8d",0;000722331248594673,0;00120215879042263,0;600861761648587,0;000445605138746702,0;001316776857949,0;287083100824266,0;093,1
"2ccf706f5a89fa4faab708124fc87f2b",0;00071161808031507,0;000762843538098917,0;932849325942374,0;000856053034239693,0;00138880762973985,0;288293818761288,0;129,1
"b6989c25ae75fb6c657a4257c412a908",0;000701526599336896,0;000508938699425001,1;3784107990402,0;00155915725282284,0;00175213814414794,0;289487367464743,0;862,1
"bdfa2012cdf76b3b61a07c02b9e908aa",0;000681360127603147,0;000644041525265378,1;05794440400779,0;00158309133528562,0;00137867917725484,0;290646605756855,0;832,1
"886a3af4a22ef92d56e945e4b5bffd41",0;000679512704154947,0;000578734699625863,1;17413506498614,0;00140334692320124,0;00152039427961439,0;291802700918167,0;171,1
"5905e2963b6009b9f4bf69cd64b0c604",0;000678404012792075,0;00055736979435367,1;21715245365737,0;0017040223617425,0;00186060572564566,0;292956909797277,0;832,1
"833e85aa078f656056e61119a61199cd",0;000676365004035592,0;00162199889309824,0;41699473835253,0;000158162618424228,0;00135198420322616,0;294107649590169,0;004,0;8236
"32578b2731941077780063453c44bb4a",0;000671920997102852,0;000525103625540906,1;27959694890834,0;00154226597268818,0;00184126784451039,0;295250828531173,0;519,1
"30618f7af5c2dcaae7eedc4c8b3b4103",0;000666501336082383,0;00055455443287696,1;20186819646298,0;00134698127178629,0;000936722246877496,0;296384786682274,0;223,1
"334118e22e280461737b8c6f5efa0484",0;000661965330445555,0;00073336147408066,0;902645358178098,0;0011267368307928,0;00158642036313392,0;297511027458649,0;302,1
"a8b6f4d37a6d9d2a09eac583e2639adc",0;000658006293539487,0;00060298592857254,1;09124651564788,0;00149869307507707,0;000991106990088924,0;298630532491333,0;271,1
"06a41880b59092d03e0f06eef52d7d39",0;000657996988842522,0;00118402314079537,0;555729838523689,0;000207583661450355,0;00125590256403032,0;299750021693385,0;036,1
