"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"4fda7fee5e5d97c5bda0baa8b9afb3f9","4fda7fee5e5d97c5bda0baa8b9afb3f9"," 0;7619405222","0;38339195"," 1;9873670469","0;04688173667","0;89221658","FALSE"
"3e2199d3327bc5c100ba67ea45aaff86","3e2199d3327bc5c100ba67ea45aaff86","-0;1138296246","0;30804217","-0;3695261116","0;71173561396","0;99933274","FALSE"
"1b7eb0f5a912d5f5b8a0e57c5d13233f","1b7eb0f5a912d5f5b8a0e57c5d13233f"," 0;2225142018","0;34428327"," 0;6463113921","0;51807771155","0;99933274","FALSE"
"8a7e967934c9edc0baf8aabbc18ea3bc","8a7e967934c9edc0baf8aabbc18ea3bc"," 0;0435002622","0;26794746"," 0;1623462410","0;87103320260","0;99933274","FALSE"
"f932c5cbf3b59a3d28f733e8835cd6f7","f932c5cbf3b59a3d28f733e8835cd6f7","-0;1502449111","0;30289304","-0;4960328996","0;61987119931","0;99933274","FALSE"
"af4ffd9d50da8941821aa1b504309ce4","af4ffd9d50da8941821aa1b504309ce4"," 0;0994375297","0;26078334"," 0;3813032258","0;70297826033","0;99933274","FALSE"
"c8ce59dfa21e5517b6e378676cecb2a5","c8ce59dfa21e5517b6e378676cecb2a5","-0;0830705352","0;20973464","-0;3960744672","0;69205009352","0;99933274","FALSE"
"96dcda0afdd757ae960cc257a3ea3baf","96dcda0afdd757ae960cc257a3ea3baf"," 0;1667343488","0;24892626"," 0;6698142328","0;50297621935","0;99933274","FALSE"
"5b3d1b3501de9f08dedd315bf71e4fb8","5b3d1b3501de9f08dedd315bf71e4fb8"," 0;3260470004","0;20655896"," 1;5784693840","0;11445781629","0;99933274","FALSE"
"9227063050777114f416c245b77a4c2e","9227063050777114f416c245b77a4c2e","-0;0309055448","0;47956812","-0;0644445351","0;94861626984","0;99933274","FALSE"
"368480d48fcf86f93a946cedc8eeb25e","368480d48fcf86f93a946cedc8eeb25e"," 0;0401165728","0;16606638"," 0;2415695032","0;80911375519","0;99933274","FALSE"
"f0476dca3d200b90490e20e27376d58d","f0476dca3d200b90490e20e27376d58d"," 0;1292713277","0;24851755"," 0;5201698146","0;60294522208","0;99933274","FALSE"
"0de3ca52aed5c5882ee5d602b8b13d3b","0de3ca52aed5c5882ee5d602b8b13d3b","-0;4657420578","0;34328040","-1;3567394545","0;17486401138","0;99933274","FALSE"
"1e6a76aac876e2db817ab3ff59b2b73f","1e6a76aac876e2db817ab3ff59b2b73f","-0;2947947865","0;45405237","-0;6492528373","0;51617496459","0;99933274","FALSE"
"8f638ac7f127f6ead5dfae5662f4facf","8f638ac7f127f6ead5dfae5662f4facf","-0;2113007869","0;20712272","-1;0201719462","0;30764692003","0;99933274","FALSE"
"0a859c590216d53520a8d96c51c610c3","0a859c590216d53520a8d96c51c610c3","-0;2141823007","0;41171759","-0;5202165382","0;60291265969","0;99933274","FALSE"
"a24c463e3d639939bb84c8b496d9760c","a24c463e3d639939bb84c8b496d9760c","-0;4488103336","0;26701291","-1;6808563178","0;09279082646","0;99933274","FALSE"
