"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"9460adb6fb7f2d993e506453e227a0d3",4;76538478564273,-0;711245352174924,0;42094240842274,-1;11310191273782,0;265664662302603,0;999863537933897
"87e2f901c859229f799f1c5403e9c59c",1;1022551041026,0;0849534666295503,0;322534518358974,0;266433823407676,0;789905119003648,0;999863537933897
"09fd7da85590a86e26441ea95c42d8b4",13;3881382542534,-0;06127054909456,0;359005187208568,-0;170638621102564,0;864507928024496,0;999863537933897
"712a7e80735c23bc0b2d68ae87b4bebc",0;661828387292334,0;154004900562826,0;343759271674072,0;486397789374626,0;626685157610154,0;999863537933897
"ea17706e0995c1f8c41d3d86d04fbb52",4;75811455038355,-0;215366852101486,0;428740224606621,-0;504781215609005,0;613712510690191,0;999863537933897
"5e2c10522c2473d7707abf416caf8c94",16;3600832887399,-0;255563507095382,0;436463066635643,-0;588601088371501,0;556128903630996,0;999863537933897
"44f0260c682d258eca77ebc5a852ecdb",0;885009037539367,-0;218933029561521,0;327635351995124,-0;757185329272347,0;448938838269049,0;999863537933897
"18e97ef638da0b125f1093f380d0c1d7",1;15434107141283,-0;155604682837681,0;275917616994619,-1;34148261106455,0;17976381174754,0;999863537933897
"37a3356f7a1c94ea89474feb9d17b60f",10;3852438475036,-0;21032006709677,0;45381897823147,-0;463601807421341,0;642933059183185,0;999863537933897
"a82e8a6ad13638f161e9ba8888a32f91",1;36357127940889,0;203156701480931,0;39919044884737,0;512715479178353,0;608150360243211,0;999863537933897
"e3648567ab771e6d7a13936124e01532",2;6888001424624,-0;0180554041255852,0;455615146307775,-0;0397196176486522,0;968316661395545,0;999863537933897
"53777b50348ee275dfe0ddb4650726d3",8;17707484491572,0;274591847675568,0;454699784697196,0;605193065166878,0;545050723093506,0;999863537933897
"cbef0c54da29479bd798fc14ea3042eb",49;479526276059,-0;0709436676632452,0;193336103837724,-0;366967202408543,0;713643482557159,0;999863537933897
"42be1811716b7a82c6a1c03a3c7640a3",2;28833543327595,-0;0206561058827498,0;353096799378773,-0;0584865587966582,0;953361068693821,0;999863537933897
"faae8229b1e52c664ecb37f30e7afe00",0;85093881023571,-0;171423722493572,0;263380760487833,0;511854426752742,0;608752895438959,0;999863537933897
"c6e45636776b37bc3a1a965ca2620432",1;75054575301802,0;222804479657627,0;415092244107428,0;543390687787941,0;58686083594396,0;999863537933897
"69f9300eb2228450c8d12e6b5c851a8e",2;21794037201385,0;021594636936559,0;431869701871801,-1;00855711402851,0;313187083597359,0;999863537933897
"3fc57f822cf6dec2eebd774847638691",2;68953152444237,-0;129217846465092,0;440806274531222,-0;293147917416299,0;769409091924816,0;999863537933897
"57364e4fcbdc58c6bbbb8b8f93eec11a",0;680911657012582,-0;179134514257874,0;305674130777939,-0;667591406265843,0;504394444815311,0;999863537933897
"f4d8a531a207ea148cc88cb996b45493",4;1922261153946,-0;236428790869017,0;387265597849947,-0;62203606360008,0;533918154629971,0;999863537933897
"059e004eee8e9d0649abbf7bb734424e",4;79903704740131,-0;0381191056847436,0;453881587381214,-0;0839847425769527,0;933068562566879,0;999863537933897
"4f1e396f477488d9764ff936aa93925d",6;59258574167676,0;126920950570367,0;450417046373069,0;281718699160109,0;778159215142761,0;999863537933897
"428ff0bf895fc17a12d80144d162a5b9",0;303281040610974,-0;133635550233099,0;258605615839008,-0;599318111732387,0;548960772335971,0;999863537933897
"41f90ca17950dc455a4cef66494e11c9",2;41687041439487,0;720722054754387,0;422437653222964,1;82526796478723,0;067960601962465,0;999863537933897
"eb738becc5172e513b062dafc7b02e8e",1;54460296989988,0;0411044440004812,0;345779451122331,-0;841810690770156,0;399893926856055,0;999863537933897
"5501da85fa53404c3853f5578de773c0",3;32404955079454,-0;235684340723734,0;408700291395743,-0;583334523468298,0;559668126175013,0;999863537933897
"ce24f58d53a7a67f0152f984b31ba21c",86;9005571901041,0;140353918982872,0;251323472647845,0;558456637796111,0;576532606692361,0;999863537933897
"ad76ff1d2eb96f31f127fec6e9e2b14b",25;1712949066149,0;520832055102909,0;456212060551135,1;14773975967435,0;251076012320583,0;999863537933897
"368bc08b520bebf6adbae7c3b40c99d9",7;32965736817764,-0;357818407314684,0;446405346807367,-0;807091535058712,0;41961374868423,0;999863537933897
"c76b0e2c78aa589a5e1f7f348dbf81aa",6;26460020042251,0;00159517276733884,0;454353990546825,0;00350658386862218,0;997202156603842,0;999863537933897
"ff69f653a1b155fc82f76b6e3b571d3d",0;0821104297219953,-0;0346025835402546,0;25859310399342,-0;133810929239378,0;893552084639736,0;999863537933897
"c6e4894fa0fbf4121e29dc7164940826",0;896951712045516,0;132708095172023,0;282764982473128,0;465124964067464,0;641841969597545,0;999863537933897
"ec35290c10bac8d142ed0e5b712e437c",6;04320239745413,0;101816341173964,0;454879872035777,0;223772894884533,0;822934021906687,0;999863537933897
"1845f2d3610e72b8598ce672f28d9de4",0,0,0,0,1,NA
"0799d5be8ccb16cfab14ec62701319ef",3;03270730820151,0;390412906797845,0;420915382575978,0;945729339480121,0;344286653907404,0;999863537933897
"f2302232cb696b5c564ee297e2852618",3;92626134665674,-0;320723075632253,0;456247491862081,-0;70369018468444,0;481625734214484,0;999863537933897
"a5ffa40027386a1c568a7a33bfa3fcbc",8;16056736240125,-0;0764836419025123,0;456254080502966,-0;167732767936902,0;866793516299229,0;999863537933897
"3d37ff2e9d64496618472a49b42da30f",0;107736668215182,0;0928466161746321,0;258598854787193,0;32226357845487,0;747253022665398,0;999863537933897
"4aff7fd80cce75eaa538a0b89faab886",0;541583337377549,-0;113526590454261,0;298866130913296,-0;348751292128468,0;727276033370334,0;999863537933897
"3343933138682c06ff97e82cbde5cbc1",3;21118326897343,-0;0644333111133485,0;399815242026754,-0;1612732381371,0;871878200205485,0;999863537933897
"ffe863165e9817701a14e84ebe8993fe",6;05345987535201,-0;434813151396185,0;452120351845313,-0;969295453147542,0;332397797243325,0;999863537933897
"c01b5a0eba006dcbf25adb235229c53a",2;21968254651966,0;39303326228653,0;407720227710366,0;993556880549355,0;320438645478017,0;999863537933897
"53471cd55f9db05905272e63e75c3d71",9;1250217949257,0;050055997007145,0;445652872728965,0;1122988781225,0;910586431306475,0;999863537933897
"8f18a057d65060625b3549c7b7e54efd",21;5880775788883,-0;0118236385812675,0;387012722807498,-0;0305523361680566,0;975626554613477,0;999863537933897
"648065772e3c508674681348644ecc5f",4;69000128835572,0;216846095334012,0;445299496824078,0;487545186812177,0;625872028788429,0;999863537933897
"ee614c8f48f7bc1542d6ba9a64fabae0",2;89496963070371,0;271478588429263,0;448550354511243,0;605807819179751,0;544642376848852,0;999863537933897
"17b88b807d9016fefbd9f21de2ab0f27",70;1731626235667,0;0856104222154944,0;276837762383404,0;309262311026828,0;757121998031563,0;999863537933897
"ede98392baddb2ba8cbf6b6b2c14a28d",9;30609624201492,0;0822600714698731,0;395570652381299,0;207806773890484,0;835379843275704,0;999863537933897
"c9d57e650fb5063b5131701513321d1b",2;66075741224687,-0;0436311897869976,0;45462595149209,-0;0961777822767318,0;923379376175438,0;999863537933897
"62a36667f8b1decc89aedf70dd36c8ce",7;39630958694112,0;0316034372804242,0;445363374004403,0;0709965213413179,0;943400524073642,0;999863537933897
"609eb3a02348810880d3968b68fbf24c",1;7244422185389,0;0496799486351913,0;322365889482497,0;154814765822728,0;876967350118796,0;999863537933897
"567f3d215c4eb8fc821a98f879953bbd",3;45070033830293,-0;0437436094901412,0;432528729026045,-0;101056024323727,0;919505986776841,0;999863537933897
"e1cb71968e5193ca554f725cc0f0762d",0;158925921333696,0;0690603744742786,0;25873512493349,-0;274183107906962,0;783943908821473,0;999863537933897
