ID	padj	R2	method
c9555e4c95539195f21e06f7a31a0fbc	1	-0.252	Spearman
c11dc82d25c2e8ac61757e4ab18b277b	1	-0.256	Spearman
8005ed0f01c5ef61785585267ebd55bd	1	-0.245	Spearman
3742331830ed2c730acd732f1bcf8850	1	-0.247	Spearman
0f3948f6d1f54f166f777fbf079b2710	1	-0.254	Spearman
67b8247ee1e0ffca3518a2e60a1b8372	1	-0.247	Spearman
1be3768c4ce841d9fea4c21c51c52fa2	1	-0.247	Spearman
932d31c995e7591a756ad9348e101b4b	1	-0.247	Spearman
865254569e45b0344f61a17c4b6c722b	1	-0.245	Spearman
396f2e96c25796585587386684f21653	1	-0.232	Spearman
fde1abc2e28733aa1d3c3321691e4b8b	1	-0.243	Spearman
ce4c99927ebe8e2cd592a478c01d4cba	1	-0.236	Spearman
4d67c16e46da0a0de2407f1c3aa655c1	1	0.243	Spearman
3067c23c5f179b67fafa665511bb7279	1	-0.245	Spearman
ed3c25ea1f11ef6b62b2d7975cf6399d	1	-0.252	Spearman
d76bebb22928bf7e27e82dbbfb4a8692	1	0.247	Spearman
92a8cb483465dce45bf273e0552b0927	1	0.245	Spearman
8689589c65ea8aef0d9a5d82d7c36484	1	-0.252	Spearman
f3b550746255380c553d904507185955	1	-0.234	Spearman
cb17cc9b35e5f6cca2fe5c797932b1cb	1	-0.239	Spearman
7f41e438f701ffa29d4b18990dbea02f	1	-0.241	Spearman
134886d509f7b560d97bfecc2be85f74	1	0.250	Spearman
996883bf4ecc1559aca0291086cebcd2	1	-0.239	Spearman
fef95dcc942f32d917629c8b9ebadb34	1	-0.243	Spearman
ae4261641ec5d10bec219c2e902a91a1	1	0.247	Spearman
a8b19b52023d52a2b020335f8e7300ab	1	-0.241	Spearman
561d1fb71238f6a1143423bb38fc27ef	1	-0.252	Spearman
1715630bb0924eff438f85dd69d0e168	1	0.239	Spearman
680a8e8eba9702a7381fa8b97228692c	1	-0.247	Spearman
1c85ddcb031451b5e8dd0ef271020680	1	-0.241	Spearman
eb1954c9388c826a7b98d2cf3bbd9885	1	-0.243	Spearman
e4eca6865814ba1933fc9de0184a0751	1	-0.239	Spearman
94b640a6127d03d14fa80308089e1af7	1	-0.236	Spearman
