"","average","sd","ratio","ava","avb","cumsum","p","padj"
"2d73384f30dd88c022af9485bdf0ad33",6;99817908763114e-05,0;00014273144145569,0;490303959398019,6;66153987101844e-05,8;83573916161631e-05,0;825532506324918,0;827,1
"b509dc25c08334db004e1df933402728",6;99675108840879e-05,6;04153939093409e-05,1;15810733584028,0;000180992127911294,0;000142384981946514,0;825646616395393,0;299,0;92084567581564
"d699a4511f3d4a0bd3d7d7e10fb8b5fb",6;99365432842021e-05,0;000129018647311897,0;542065389316425,7;47580834897096e-05,8;30862046419179e-05,0;825760675960784,0;904,1
"333cd2a2662a9b0455be82c4f06e7fc8",6;99326496885412e-05,0;000104847046620572,0;666996848672509,9;76576067819378e-05,7;08711577776116e-05,0;825874729176106,0;631,1
"dfb6be04eab2b0b4cd944abac5e23753",6;98070933976654e-05,0;000155622169089665,0;448567796002411,0;0001266266570389,2;20042111266022e-05,0;825988577621572,0;058,0;769924107142857
"bfacb553e1fb2faba599dda7467b24ba",6;98019843838001e-05,0;000238271082592381,0;292951975642017,0;000132554508136895,1;01826360919091e-05,0;826102417734743,0;099,0;843495828367104
"7b05ace08f44898d8f510c03a54e7fc9",6;97738859364621e-05,0;000155867153932805,0;447649707946435,0;000105233855222823,4;53788938764208e-05,0;826216212022133,0;327,0;94732601299103
"00730cee469fb63e81eff491d07295d3",6;9725161800451e-05,7;78885017100829e-05,0;895191976602431,0;000102703808679189,9;71011343657893e-05,0;82632992684529,0;572,0;98229396477043
"f1428328440337cab0b024fae3917094",6;97148554362607e-05,0;00011123624161313,0;626727893942365,7;0858437864078e-05,9;3502143323549e-05,0;826443624859789,0;949,1
"64f086671b08b866029d65bb269b8708",6;96212855732263e-05,7;07725853665114e-05,0;983732404470985,0;000105551106055871,0;00010235887446982,0;826557170271122,0;843,1
"85984937c78681e105c87400df841dd4",6;95991371598294e-05,8;60883045994251e-05,0;808462165490179,8;82746478453097e-05,9;04501367086611e-05,0;82667067956059,0;912,1
"6f2cfdb830e56447b341d0f5e7472226",6;95227535555039e-05,0;000138873483219663,0;500619354708173,9;97705126430435e-05,5;23210571871971e-05,0;826784064275976,0;346,0;94732601299103
"dabe70d38020040d5dc74b193d1b1284",6;93925840034099e-05,9;06053112765812e-05,0;765877662420722,6;64447292852161e-05,0;000104175867731166,0;826897236697733,0;486,0;94732601299103
"50fcf3f7be62f350690c5553656e45c9",6;93660363906313e-05,6;49778473131509e-05,1;06753361736242,9;7792650020203e-05,0;00010943204354712,0;827010365822966,0;871,1
"7cd5548e91c12155c1d1466e0caf791e",6;93454336197276e-05,6;57314977021047e-05,1;05498027648786,0;00012557579075766,7;14226591663358e-05,0;827123461347124,0;107,0;843495828367104
"4263d8c75275d2d23dd5863129f2a317",6;93008658123044e-05,8;28927058896488e-05,0;836030927794315,7;28584406465229e-05,0;000113294126880846,0;827236484185608,0;736,1
"2d4fda3a6ef5fd3fcf716673da8e6500",6;92915216902305e-05,7;4061613849435e-05,0;935592921740784,0;000119220102356599,6;4636518374354e-05,0;827349491784756,0;081,0;826255574614065
"256c5ccbb8ad0dadfc70c611fb17e7db",6;91754258553671e-05,9;3428632893245e-05,0;740409269762189,6;7726567675533e-05,9;85822694539307e-05,0;827462310043113,0;214,0;890725501113586
"b387219dad8f64d8175270689b1f690a",6;90964515495909e-05,0;000140471033094116,0;491891104006446,6;0052540475682e-05,9;50484276057365e-05,0;82757499950221,0;734,1
"2508bb5125bbe0a7bc64497beba25286",6;90543023974809e-05,8;91513078634673e-05,0;774574193608417,7;97612990672135e-05,9;44382051558585e-05,0;82768762022022,0;966,1
"eed40e769a196b0bb97e9dd89f60fd53",6;90122704730191e-05,0;000101770657490833,0;6781156000612,0;000115581889528633,4;86026368615296e-05,0;827800172388331,0;128,0;846758278145695
"530f12aac3b7a2bc52f713acb3435ab8",6;89880108009874e-05,7;64784818935661e-05,0;902057795773155,0;000124937561067342,4;97849744483523e-05,0;827912684991322,0;041,0;734418674698795
"b763aabc9b8bfcdf520961b4cd460a78",6;89557071096713e-05,0;000153800078398376,0;448346371651781,9;30001848962876e-05,5;80757200724813e-05,0;828025144910198,0;653,1
"90b863a32bd4ee1f55bb4c3a1c88dd0e",6;89344110251358e-05,9;79207332013262e-05,0;703981769452296,6;01641608292439e-05,0;000104419286323842,0;828137570097271,0;519,0;950860443622921
"c11dc82d25c2e8ac61757e4ab18b277b",6;89027101288854e-05,6;53596722756188e-05,1;05420831729887,8;27753631182884e-05,0;000129664347179011,0;828249943583327,0;268,0;890725501113586
