"","average","sd","ratio","ava","avb","cumsum","p","padj"
"88bce27fdf6be171434534188efb8699",2;59247001219964e-05,5;44834118898308e-05,0;475827398152266,2;49993488924567e-05,3;17836159467503e-05,0;953120488088568,1,1
"10b8eb52913d923b51d0dbb79f0724aa",2;59224019448672e-05,3;15379412584558e-05,0;821943377103508,3;28303494946771e-05,3;73028057281784e-05,0;953166550326449,0;97,1
"b101b6f8a7fd6c1c20a07b47cfb1599b",2;58806718584062e-05,3;44337081386059e-05,0;751608620083229,4;04086200738468e-05,2;27786192431002e-05,0;953212538412978,0;343,1
"1b51d74030ae9693afe211d0eb94f2ab",2;58714746765486e-05,5;1648358700903e-05,0;500915717890882,3;11647215792084e-05,2;58920528578703e-05,0;953258510156779,0;855,1
"7077a14fdf92780c2f5d55c2a0438fc3",2;58560308725901e-05,4;1914269666994e-05,0;616878955019724,2;29401726727178e-05,3;68720380274266e-05,0;953304454458054,0;499,1
"0936fb4e71c0c3d0c1d734ce09d5fb77",2;58376639359135e-05,3;03927722568735e-05,0;850125277073736,3;16198376413108e-05,3;65550474245392e-05,0;953350366122608,0;933,1
"95f88c6c26c57008def31ec2ecb2acea",2;58170582383747e-05,6;14841268457809e-05,0;419897940538881,1;91081216932882e-05,3;63433879072306e-05,0;953396241172324,0;739,1
"f2c60f5116687383c7686e7e74d2774a",2;58077758123171e-05,3;0341862313775e-05,0;850566637783485,3;45608677551054e-05,3;84103952169516e-05,0;953442099727839,0;911,1
"04d62aa27d23c86646a379f756bf5d65",2;57437981805702e-05,3;93929492755258e-05,0;653512840597706,2;87678646831848e-05,3;38051371091955e-05,0;953487844599718,1,1
"77494d9505f37e82350d5cd5e6e330c5",2;57326469025618e-05,3;77578302851672e-05,0;681518156848928,3;62551121830202e-05,2;53656917687035e-05,0;953533569656581,0;518,1
"363b8445666814f1e611dda42a2ec42e",2;57284268125902e-05,4;64022840413757e-05,0;554464663628386,2;83599734434105e-05,2;88711002272124e-05,0;953579287214648,0;376,1
"1b4f76fb54531138eb42ccb82c10568f",2;57028714342162e-05,4;21598875353242e-05,0;609652277005738,2;36299592522745e-05,3;57168812867878e-05,0;953624959362652,0;63,1
"0e3f557b9416abe7123ff2ff6c8b0893",2;56764898452867e-05,4;69332259735398e-05,0;547085552136618,1;88307062456257e-05,3;84872046628321e-05,0;953670584632476,0;434,1
"21c493eec12b3f5d2aa0a79afd267f1f",2;5667202310928e-05,3;81253155344182e-05,0;673232521518583,2;63132521669028e-05,3;48488904738749e-05,0;953716193399022,0;674,1
"816ae8c6624a6f66d0512a3fe4715a2d",2;5653715197772e-05,4;5865300365371e-05,0;559327312661425,3;68204826558387e-05,2;11206266617774e-05,0;95376177819994,0;576,1
"3f294b559493444539cfb8094acd8c62",2;55802619917748e-05,3;96338551989089e-05,0;645414428230515,2;66294746127563e-05,3;4242351086756e-05,0;953807232479812,0;616,1
"c42198ca936a42f378696b2175112329",2;55726344865227e-05,4;29968571920682e-05,0;594755899769349,2;80063550147296e-05,3;09485122170932e-05,0;953852673206157,1,1
"20af51588ac9afd1be242b2595e64c43",2;55548629848133e-05,5;54297078315941e-05,0;461031890380043,2;7018163817187e-05,2;89754504913294e-05,0;953898082353825,1,1
"a1e29897d324a866d428195d32f074a0",2;55447767974347e-05,5;33900093039727e-05,0;478456121856004,3;594203855923e-05,1;98171210843666e-05,0;953943473579067,0;561,1
"41b2f9c588310ed24ec3c0b0715eebc3",2;55332631921255e-05,4;0137839541148e-05,0;636139450553874,3;50321914353051e-05,2;45565351726436e-05,0;953988844345462,0;788,1
"a24d92e2fec7f612fb696663f1c44b7c",2;55287701531478e-05,6;28677265219365e-05,0;406071152330283,3;9224408091085e-05,1;55244111791989e-05,0;954034207128052,0;59,1
"7f93659a912ea107de0002c0e065c375",2;55281216095335e-05,2;57372383478852e-05,0;991874934850233,3;96382690557236e-05,3;76766808077302e-05,0;954079568758226,0;981,1
"9376a6b5fa4a57521836e861fbc6d0c1",2;55225105999475e-05,4;5267594625914e-05,0;56381415471404,2;16357664635742e-05,3;58886094184101e-05,0;954124920418041,0;513,1
"121ad6b2921eafb029b4a54e157d4dad",2;5519629537382e-05,9;69290704651296e-05,0;263281484232976,0,5;10392590747641e-05,0;954170266958416,0;481,1
"0303d94539da3a68eeef69d6d3ac9437",2;54995141255463e-05,3;87371761883575e-05,0;658269823323111,2;53520929917091e-05,3;48405383454568e-05,0;954215577755155,0;676,1
"708dc2cd27620abc1d4eee54a3e49121",2;54966942437408e-05,4;168988417313e-05,0;611579877215729,2;31333791857111e-05,3;57566684058254e-05,0;954260883541168,0;636,1
"70d1519d1620f4d9a427bec48e02db87",2;54817453555385e-05,3;14676546429456e-05,0;809775804541918,4;1212959833246e-05,2;23507156224954e-05,0;954306162764085,0;232,1
"edd39e8bd5f783a1ca0f1533899cdcdd",2;5480146744369e-05,3;64061408856946e-05,0;699885956722788,3;23879657907213e-05,2;88348310219151e-05,0;954351439146385,0;752,1
"05a9525759e6882c8bfa01029b336524",2;54679104295475e-05,5;10411069494772e-05,0;498968614743344,3;3223562904043e-05,2;26085778164274e-05,0;954396693785637,0;546,1
"c09e7d938490d3c64a27acb6d5c9285d",2;54517914413722e-05,4;87638513365064e-05,0;521939730841524,2;46123944645425e-05,3;19349421506902e-05,0;95444191978261,0;767,1
"4fc3e195b41d8a390ca32915bf716791",2;54471124116464e-05,4;30602604713351e-05,0;590965129637021,3;38484011327455e-05,2;4857437429443e-05,0;954487137465285,1,1
"4094e7aeae50ece39819b276f27e2a1c",2;54450892126489e-05,3;16919728284319e-05,0;802887511938709,2;65494938400171e-05,4;15636212804139e-05,0;954532351552881,0;649,1
"c4fe878097246e1b7612c9afaf490ce6",2;54344399266227e-05,2;92728798975353e-05,0;868873852372967,2;47465140732428e-05,4;14531530451423e-05,0;954577546717464,0;252,1
"aa50d49509b351200ae5d2ce8b5e13a9",2;54309500746135e-05,4;99867870219307e-05,0;508753444454355,4;38176427719477e-06,4;85249592013898e-05,0;954622735680832,0;019,1
"b35e8e95c6fbc49f5a53420988d84b06",2;54123085551987e-05,4;34771187507043e-05,0;584498450803782,2;56196480828892e-05,3;24276325232011e-05,0;954667891519565,0;891,1
"4aa85692ad14f033986797bbbae22581",2;53864739861724e-05,3;86872583121737e-05,0;656197288040546,3;93017951623068e-05,2;00932625874345e-05,0;954713001452132,0;313,1
"fec7a09429f28d23f86e80a6901085e3",2;53652901522518e-05,5;70499897289e-05,0;444615157211894,3;39108036887385e-05,2;06069354219504e-05,0;954758073742556,0;569,1
"898859f5405b34e77cd35e8016093465",2;53604998385234e-05,3;22776993437919e-05,0;785697257056862,3;67367107208179e-05,2;63755022058399e-05,0;954803137520937,0;483,1
"293e555359b0a34eda443e6bebf89b5f",2;53450755449149e-05,2;23968744384128e-05,1;1316344883126,4;04243271983979e-05,3;98203098230975e-05,0;954848173891462,0;932,1
"0bf98da788e330acb4d0d96f8d0b8b77",2;53411552217015e-05,4;30406793982634e-05,0;588772193561702,2;51854705754052e-05,3;27956045815825e-05,0;954893203295855,0;874,1
"2479123d20b15b7ec15cc84b236dc1c9",2;53227749910588e-05,6;64843628578147e-05,0;3808831716597,1;28626258256714e-05,4;02984856376722e-05,0;954938200039905,0;489,1
"d04e2e51f7144e8232b65ba88a0e16ad",2;53006807334825e-05,5;3488402570718e-05,0;473012457233734,2;42553241354006e-05,3;12108302308606e-05,0;954983157524053,0;893,1
"85eabf32baeae43a02e7a481d7467ff7",2;52858645608595e-05,5;2418757635146e-05,0;482381988845645,1;75063120918659e-05,3;73751859874303e-05,0;955028088680931,0;459,1
"ad0f392c638101a23632ab22185269d4",2;52646538640734e-05,6;20420180820858e-05,0;407218440745214,9;9293929030578e-06,4;32199111982971e-05,0;955072982147932,0;275,1
"f2416885b56617b380be47ff0707d0e4",2;52552290830127e-05,6;02198419100167e-05,0;419383848943846,3;41391299272022e-05,2;02181423078447e-05,0;955117858867776,0;87,1
"4525577fc8e03714755c4e340e94fcb2",2;52145776240836e-05,4;6867751385988e-05,0;537994183173506,2;41249907827381e-05,3;23443152851912e-05,0;955162663352911,0;571,1
"cde1288bcbc3c9601eaf2bbc20a28dea",2;52025250000314e-05,5;82162775549068e-05,0;432911997443697,0,5;04050500000628e-05,0;955207446421403,0;046,1
"f83703e493e8dbd89111181b4b485fdb",2;51899845921528e-05,3;34719720899162e-05,0;752569478860838,2;68165465993215e-05,3;48568934458124e-05,0;955252207206495,0;481,1
"25bd72ec7a5124f5f47bf3cf193857b5",2;51266744949732e-05,7;56309085646306e-05,0;332227590172359,5;02533489899464e-05,0,0;955296855494112,0;246,1
"54d6083a52b2d13ee2d76be358c65fd2",2;50806067319562e-05,4;13594086923728e-05,0;606406317810374,1;7101863093431e-05,3;94548167380494e-05,0;955341421922639,0;153,1
"8c48bc7e4366d6bc041e585251949223",2;50791130227291e-05,7;59118405867947e-05,0;330371557702577,1;45063381539011e-05,3;76616929358524e-05,0;955385985696951,0;596,1
"5c6c00d9e10c7c14600dbcf1e65ec04e",2;50515741514578e-05,5;9436155491696e-05,0;421487122513465,2;7642874314359e-05,2;61459905638045e-05,0;955430500536677,0;739,1
"6de5b8b848f3104ec3c5fa6a062a25d6",2;50194889020239e-05,3;72787400609965e-05,0;671146311841181,3;17287846654116e-05,2;77633550506052e-05,0;955474958363229,0;901,1
"4265af1e5647905ca87a24fc9f009d13",2;50184882499325e-05,3;75325001984505e-05,0;666581978755716,2;85766102281675e-05,3;08641453461971e-05,0;955519414411695,0;882,1
"5728ef4be373334baf564736fec52114",2;50087606795826e-05,5;85090395997938e-05,0;427434134120889,1;99561743617379e-05,3;3594980038585e-05,0;95556385317497,0;602,1
"3c3e7b1630fda62d130ffeb5170e053f",2;49874827778108e-05,5;38031892944143e-05,0;464423821440729,3;26530487211251e-05,2;17744269629042e-05,0;955608254128949,0;8,1
"ed815f81b741d631b7fd732cfc5339ba",2;49711331916617e-05,4;10452216924464e-05,0;608381004219481,6;69523299410819e-06,4;61426020962734e-05,0;955652626030893,0;021,1
"0668037261e6f4b0139e129ee43dbfcd",2;49602932803999e-05,4;08612535438033e-05,0;6108548102579,2;26353157518194e-05,3;52515327633427e-05,0;955696978671096,0;743,1
"4986a3bae81ebf3cb7102d1f65ecf50f",2;49559182620114e-05,2;37151515335288e-05,1;05231957833912,3;76603382388089e-05,4;09568210169019e-05,0;955741323537208,0;939,1
"34b9990f1dae44b55d17eab9f785280a",2;49540518214276e-05,4;42073827850436e-05,0;564477022825929,2;25827208909069e-05,3;35279510384826e-05,0;95578566508679,0;569,1
"ebed27723ceca0b651b449f8bcec11be",2;49384770661671e-05,2;0373736832657e-05,1;22405022068378,3;36703120313074e-05,5;06123696614873e-05,0;955829978961155,0;191,1
"b5579ff569cb1fec4c2f9be8b3608d2c",2;49325853332384e-05,3;0223980297374e-05,0;82492726265457,3;29127542192498e-05,3;16000782298821e-05,0;955874282366336,0;921,1
"4441b7c077531d0dd209ca30feb139b3",2;49284821835409e-05,2;28944766264732e-05,1;08884263179512,3;79324311802325e-05,3;94559721287417e-05,0;955918578480516,0;954,1
"7f5096a957be742c7d169f11c6a7edea",2;49284441794346e-05,4;19881955189709e-05,0;593701250347174,1;87830979899416e-05,3;98886146082734e-05,0;955962874527165,0;426,1
"6c00dfd9644b42fffe2a6cf52651625e",2;4925086589461e-05,4;86433076438739e-05,0;512405257716887,2;81090231989094e-05,2;6780673195501e-05,0;956007164607619,0;422,1
"59938d12579e3f630adebf741d4a3382",2;49246991736428e-05,4;37102820839141e-05,0;570225081727747,2;76210516392871e-05,2;92082870674061e-05,0;956051453999664,1,1
"4d6fb36f22890775930744220440998f",2;4887526891228e-05,5;05502267635566e-05,0;492332645858086,2;51098486051699e-05,2;96743168853247e-05,0;956095677339244,0;662,1
"c3fa428c21f33c90ecfd3fbcbc3cc249",2;48790802453353e-05,4;1322496417647e-05,0;602071084812547,3;56633398654179e-05,2;06240375587128e-05,0;956139885669744,0;355,1
"018fa05c2ec3408d8abe4a5e30396892",2;48742066158156e-05,5;89242952332405e-05,0;422138381415608,4;49479593705388e-05,6;54607344694407e-06,0;956184085340157,0;113,1
"458e3ffdc098b547adbfe43ea8b4e1b0",2;48156200813111e-05,5;53592913983162e-05,0;448264770998603,1;45521921725311e-05,3;84446275419328e-05,0;956228180906524,0;33,1
"f03ddb499b84241a0a96d2f37dbb9765",2;48117974443206e-05,6;86753319066562e-05,0;361291263623522,2;28727093338324e-05,2;94631142873858e-05,0;956272269680342,0;677,1
"1a84208fe0b8134baf1cb7c980fb7437",2;47531641621724e-05,3;56857119898689e-05,0;693643555975561,1;983428507702e-05,3;82964273068907e-05,0;956316254267047,0;251,1
"0912461aebb6bb03fcdadce791fa55bd",2;47518009827573e-05,5;998207354054e-05,0;412653306592149,1;94108904654716e-05,3;34673272288281e-05,0;956360236431481,0;803,1
"0bb03127b4b9c2404e927ae572b8d409",2;47464797405735e-05,4;89004999387756e-05,0;506057806598226,2;61150441807719e-05,2;88155496315158e-05,0;956404209140452,1,1
"23b53e82833d9d15859583249d26b0fa",2;47417758908889e-05,6;19761791278137e-05,0;399214282633717,3;47272492411196e-05,1;78611606292217e-05,0;956448173491022,0;734,1
"48a711432cd99c4fb0fc8d1b5a131a5e",2;47059651374525e-05,8;12658941562127e-05,0;304013945751482,3;15684032886195e-05,1;97015496676067e-05,0;956492074208466,1,1
"8da466ff20b831e816571e22378d4181",2;46836450937266e-05,4;09765141290657e-05,0;602385186206405,2;29890422992961e-05,3;37628818588949e-05,0;956535935264803,0;535,1
"4702aba0cba3d8f5f337b4e5e92c1d05",2;46729981582385e-05,3;77109584984243e-05,0;654266004913913,2;73627685854251e-05,3;09696384053927e-05,0;956579777402304,0;966,1
"dd4060699d04d07061586001ea39bb77",2;46692413532268e-05,5;53889526760475e-05,0;445381978921129,1;99691124301463e-05,3;327480818737e-05,0;956623612864233,0;611,1
"e08be95cc6d3d27f862317df25f4acdf",2;46572902748288e-05,6;56708188113412e-05,0;37546798899621,1;95517999180495e-05,3;23696872873479e-05,0;956667427089958,0;603,1
"9c421ae6cf070841bb7de72c6b760f3b",2;46533080102748e-05,3;13791531709377e-05,0;785658805894986,3;01966977368745e-05,3;19224948183471e-05,0;956711234239487,0;537,1
"0518de9a345f49ce11f09b317c356545",2;46484583290367e-05,3;39910084876081e-05,0;725146426238653,3;70682307251451e-05,2;24649932063319e-05,0;956755032771482,0;459,1
"e5991176bda1d017fbbeb44e4b1fab83",2;46292576742597e-05,7;90086867042659e-05,0;311728478242506,9;69520693207296e-06,4;08560026740561e-05,0;956798797185299,0;489,1
"10e76fb01e2047c0c07af5f9f3f71c70",2;46224635780675e-05,5;11040821549124e-05,0;481810112613492,1;96778305450602e-05,3;38444988392616e-05,0;956842549526497,0;373,1
"262a671699bc2bc86e4744f295ede43b",2;4607417411171e-05,3;14092398466322e-05,0;783445175092624,2;62671064478971e-05,3;49583487803388e-05,0;956886275131742,0;418,1
"cefe42806f5ad7f4d8cb7127e551c312",2;45735729643369e-05,5;28924706807891e-05,0;464594915836711,3;0238286740056e-05,2;31790319523813e-05,0;956929940597847,0;688,1
"7b488b71b27ab9561a182d6c09dfccb3",2;4552464046732e-05,2;34863115694293e-05,1;04539463227979,3;57684592525457e-05,4;31851941078034e-05,0;956973568554929,0;76,1
"f67589a9f507118ce13454f7e736c900",2;44972867628745e-05,2;61387876816404e-05,0;937200571856708,3;59368223823195e-05,3;73833195967135e-05,0;957017098465958,0;973,1
"cab397cfb37266a2639f9b8bb141f6cc",2;44561598774075e-05,2;26889164254032e-05,1;07789016535076,4;3581992872548e-05,3;18875707543738e-05,0;957060555297479,0;349,1
"ea2f7193ba4b7b9e05dcf5bcd4e6373b",2;44386649222299e-05,3;0374072578031e-05,0;804589666382306,3;74594494847033e-05,2;49022770649816e-05,0;957103981041728,0;528,1
"83078edef29bddc2346ad2d7b136ab04",2;44378569910396e-05,3;95781089303246e-05,0;617458935040613,2;03551560401005e-05,3;62913444638196e-05,0;957147405350341,0;44,1
"47af377e19c90df461e6f1cc57528ae7",2;44367177191203e-05,5;25569648395001e-05,0;464956791050355,1;7892413509896e-05,3;49647528886204e-05,0;957190827634549,0;401,1
"b77534dcaa59f65fcde1898187160568",2;44353870319764e-05,6;03463747961824e-05,0;404918888906019,3;31389847194406e-05,1;91975556141188e-05,0;957234247554223,1,1
"18a912d8140a9d2fb9ba7fc22a24469c",2;44191565718341e-05,6;77443969498679e-05,0;360460166025313,2;04474486288493e-05,3;10383186374286e-05,0;95727763863354,1,1
"1b3ebf4c29e57e4df1347c604838c85e",2;44173169101082e-05,3;39166864751912e-05,0;719920471239681,2;1160344629487e-05,3;75563880237496e-05,0;957321026443911,0;414,1
"b2afc511f690dfccc6f5f7d76fbbe000",2;44117683494443e-05,4;109816783153e-05,0;593986779398861,3;32243289581163e-05,2;31875189289204e-05,0;957364404394891,0;941,1
"8ed237645833ea47c9f4d6b8d2da0ee3",2;43547235688295e-05,5;08173598006149e-05,0;479259915595514,3;01102589408465e-05,2;29350637487217e-05,0;95740768098141,0;381,1
"985b2a53c7f2349d538ebd2229ef3eba",2;43477000528621e-05,4;07600041122722e-05,0;597342924348024,2;57912394955261e-05,3;13410005300718e-05,0;957450945087649,0;933,1
"7c73ab5aee2abedce882398fa738ac3d",2;43448543096633e-05,3;04170766885327e-05,0;800367982727328,2;88697416991265e-05,3;30466196958578e-05,0;957494204137208,0;908,1
"a3311253d98991cbd77a225a6ee3368e",2;43360698875218e-05,9;27279656876019e-05,0;262445851227983,2;62463501169369e-05,2;4027631776543e-05,0;957537447577482,1,1
"47b1c7e6965dafecab1a219f15ef8d35",2;43175944035157e-05,4;84312135549457e-05,0;502105824292987,3;07331824828717e-05,2;27301768737569e-05,0;957580658188154,0;611,1
"75c07e4916890620681a58c00fa9ee7e",2;43147475992092e-05,5;47218296849275e-05,0;444333600305517,1;33422381909944e-05,3;88451871916891e-05,0;95762386374026,0;255,1
"7872ad82ea1fc63cfcc4d9b46a99ee55",2;42549698614052e-05,4;78704972436142e-05,0;506678878599715,4;52538225593629e-05,5;35286056868791e-06,0;957666963071639,0;03,1
"641745425a16bfbef11430467fe557d6",2;42477348733803e-05,3;13283852241861e-05,0;77398610556731,1;77096419650278e-05,4;08462214461029e-05,0;957710049546967,0;142,1
"55eabcfdac494c50ed3c20dc27189ae6",2;41849864447445e-05,6;5064294715064e-05,0;371709038738648,2;32385591511777e-05,2;80949008534586e-05,0;957753024522864,1,1
"a073a2b7eb6a77a349b8f2bf4c8ab327",2;41844320638126e-05,3;2498719165743e-05,0;744165698976393,1;64454505666817e-05,4;14250658834996e-05,0;957795998513667,0;098,1
"9fda26eccc626f9ebf43d031dea3a997",2;41756834554528e-05,7;84542747527966e-05,0;3081499833072,1;56222103195858e-05,3;4457681682972e-05,0;957838956958824,1,1
"8c19c1b5dfaee0504ddbaa9652fc4441",2;41461177923038e-05,5;72529780522389e-05,0;421744311191504,2;1064384559651e-05,3;09835735006658e-05,0;95788186286793,0;759,1
"1a410a463c3757a17b5e6af0c09659b9",2;41407536643883e-05,2;66741242451367e-05,0;905025163807944,4;50920530410954e-05,1;77988281052073e-05,0;957924759245368,0;025,1
"bf3f60b25d0fdfc073cb97d09e409402",2;41385874620774e-05,5;23707957818179e-05,0;46091695002385,1;53043629924702e-05,3;66962690223397e-05,0;957967651773621,0;409,1
"1c53dd652755b071a4ce9245e7a1632b",2;41375274597853e-05,6;82784616966991e-05,0;353515982346043,7;01988382092276e-06,4;26591478628323e-05,0;958010542418327,0;286,1
"d9408e862436f299479f78acee2af3f0",2;41358563007014e-05,4;15191030127593e-05,0;581319309650889,2;01348687712774e-05,3;46222445744484e-05,0;958053430093503,0;547,1
"4d24a21acedcd255d86dc6174c46fb37",2;40801535020237e-05,6;34215589961457e-05,0;379684036204268,8;54445251420515e-06,4;16109402479181e-05,0;958096218788825,0;39,1
"293d7a13de8edf124055e47637c51c55",2;40619031320988e-05,7;19000755538474e-05,0;334657550033844,1;37934541671155e-05,3;6607389150882e-05,0;958138975054557,1,1
"981d24555702d3f5c22835269253cb4e",2;4041611167232e-05,3;50422384750539e-05,0;686075211329518,3;0235487059806e-05,2;74930159831489e-05,0;958181695262931,0;845,1
"566e22f1997363f75206243267421078",2;40346023011786e-05,5;36161520869213e-05,0;44827167496493,3;00791917086111e-05,2;20892664831754e-05,0;958224403017056,0;78,1
"11afb943f889f074808f707072b06852",2;40124550658809e-05,3;77866261722622e-05,0;635474968217924,2;94287475548547e-05,2;86680396723011e-05,0;958267071417142,0;668,1
"364a4fddbd4c3d01ba73283bd473dea6",2;39865861003505e-05,6;15640188262958e-05,0;389620212547026,2;82280189435343e-05,2;27470293244983e-05,0;958309693849942,1,1
"0b1c6513335076fb633530a3e04a8d43",2;39830920688845e-05,2;97660988710352e-05,0;805718350019388,3;04522356453875e-05,3;48918813057182e-05,0;958352310074101,0;805,1
"b8cba15a92bfd7e0e5ea78a6fb85279d",2;3961771671677e-05,5;52820412916457e-05,0;433445855323329,1;55055003456993e-05,3;58391023744832e-05,0;958394888413452,0;501,1
"e34fc03fb60834f52dfc03724c3b63f2",2;39567528981488e-05,3;88618035888629e-05,0;616460140440172,2;10611253958787e-05,3;63707524700204e-05,0;958437457834805,0;79,1
"bb94fb5843207006c628523e3b96740b",2;39549831017559e-05,3;53175240276222e-05,0;678274702468398,3;54296819876867e-05,2;13764987606794e-05,0;958480024111357,0;481,1
"664dde08e4c24a85aecffb1389de0e58",2;39539834020832e-05,2;98226066379491e-05,0;803215617363301,2;87673705532553e-05,3;28574193677233e-05,0;958522588611515,0;766,1
"967f979b52a2f5dfb07d799231cf498f",2;39471223442449e-05,3;96009260107586e-05,0;604711171090773,4;15372874113942e-05,1;35172334900918e-05,0;958565140920069,0;129,1
"2dfc9a010fe087bd2f2f936676ed3098",2;39441988018893e-05,3;79995163721394e-05,0;630118514335746,2;7955787210594e-05,2;76758171863718e-05,0;958607688033698,0;56,1
"30095612ef4344ade882563ae8283131",2;39287730603041e-05,5;65117349585075e-05,0;423430161503151,2;70187305254306e-05,2;47728512113098e-05,0;958650207736898,1,1
"78a95646b3f7cc8247c49302a1f98fa8",2;3913869744997e-05,5;4368936686496e-05,0;439844352353072,1;28921627420356e-05,3;8198709002054e-05,0;958692700957982,0;299,1
"a4c52773598e78bd8057647d87d57c33",2;39017687385586e-05,3;75909253624467e-05,0;63583879641432,2;84110777913049e-05,2;75353785932206e-05,0;95873517267645,0;718,1
"dbed5d507e555bccf37ba68a444d43d2",2;38881118640773e-05,5;64835238178608e-05,0;422921769914851,3;00811676048456e-05,2;13915932544285e-05,0;958777620127638,1,1
"1d25f1a5fb99f70a93c273079c5508fa",2;38809696939734e-05,2;97589911295853e-05,0;802479142857495,3;61174113592974e-05,2;51321478092741e-05,0;958820054887705,0;558,1
"7c37530cf660e8923a1f4b2137c44ce8",2;38700818301191e-05,3;53690728555787e-05,0;674885709545935,3;52735214946865e-05,2;17634378893895e-05,0;958862470300824,0;634,1
"b232a976ee9288484ecfe29918d043fc",2;38519065339702e-05,4;95827060439908e-05,0;481052940370141,4;12699938680713e-05,1;04166492338607e-05,0;958904853417752,0;144,1
"bacc1e945fa5025c4a574a6f030c7eac",2;3833516720112e-05,5;29705605743292e-05,0;449938918178303,1;06007855740046e-05,3;95069849251266e-05,0;958947203857308,0;182,1
"a89fa03e3c121d999ba19138aeaafab1",2;38131428784486e-05,4;21058391486864e-05,0;565554406702558,2;46895950511294e-05,2;93569716337296e-05,0;958989518094018,0;721,1
"2608e38f5c5565c0afee7492c301471f",2;37844410107883e-05,8;20528172129284e-05,0;289867451461993,3;62018865212114e-05,1;27863612147043e-05,0;95903178132958,1,1
"d54ea8524d2f5ca72c2291855f4dd5b8",2;37659665321925e-05,3;69753826217909e-05,0;642751064276651,3;66917296871529e-05,1;96223886658426e-05,0;959074011737326,0;523,1
"de9ccdd9d81093b44398817159b61671",2;37439309839015e-05,5;82541594910282e-05,0;407592027614068,2;19756404432475e-05,2;88937711294527e-05,0;959116202989493,1,1
"66a976fe155dd7493a081f00f00155a3",2;37294867758646e-05,4;06396414174867e-05,0;583900003744969,1;29529443386387e-05,3;95748154199324e-05,0;959158368575344,0;076,1
"7733e0cc5e3dbf6a503312811bd04ac3",2;37199856786265e-05,3;57496776986855e-05,0;663502084649527,3;62087518423026e-05,2;03778336686268e-05,0;959200517278432,0;428,1
"1d5a4bcda97eec392709ef9acc1604bf",2;36947843040234e-05,3;77907876351778e-05,0;626998953627706,2;48786542621765e-05,3;05928939540714e-05,0;959242621200494,0;87,1
"2510eb5fff36cd52de23fea9324957e0",2;36929019060197e-05,2;14115207289492e-05,1;1065492360842,3;36114719124823e-05,4;7672976407683e-05,0;959284721777672,0;143,1
"db3bd008ebcf2285862b7a993d874e18",2;36922072092959e-05,5;32104428959268e-05,0;4452548394614,1;91983134379852e-05,3;19999977494975e-05,0;959326821120423,0;795,1
"289ae1bf66d6a1fe8123f59279d2897f",2;3659264351157e-05,7;07008508734238e-05,0;334639032753855,2;01342091319065e-05,2;94396225693625e-05,0;959368861926092,1,1
"0a0536fb2d0bef72f83a88b656e9eb8c",2;36556734451663e-05,4;03918827076126e-05,0;585654142848557,3;09523919959098e-05,2;30982367601764e-05,0;959410896350981,0;802,1
"dff50fe41de95132bfd80e9bd3155f5d",2;36326577274027e-05,4;30918270451e-05,0;548425521681147,2;90158702627703e-05,2;45338905294966e-05,0;9594528898786,1,1
"bec34edb638694e6a71b7534faae6f2f",2;36142096859801e-05,5;06596180057831e-05,0;466134775893581,3;1204782283846e-05,2;00925906040829e-05,0;95949485062538,0;684,1
"6ffe8de50b32c5260e48b43ae3bb01c2",2;36101263954229e-05,4;79398159860742e-05,0;492495140204154,1;88110950338752e-05,3;32408142642056e-05,0;959536804116448,0;677,1
"1d5530c51c3987289fcf6d3db038c00d",2;36042589716691e-05,3;26265979483408e-05,0;723466755836538,1;70838337502364e-05,3;8885474529014e-05,0;959578747181526,0;16,1
"76bd4bf144186da834faafb2ef355ba3",2;35949576775435e-05,3;19004388928205e-05,0;739643669380791,1;86117568833985e-05,3;86377474114051e-05,0;959620673718877,0;283,1
"4dafd4164819fbcba4e51ed87bb68a29",2;35758430226076e-05,7;728117423235e-05,0;305065797159417,1;13741919584463e-05,3;72940530145618e-05,0;959662566290864,0;508,1
"c8b9b0235743763f8618574c37ff1ee1",2;35425122063623e-05,3;35469974101612e-05,0;701777029953547,3;27355168198046e-05,2;50162552259066e-05,0;959704399636397,0;668,1
"7af7950d17b5549e5f57f744e7ce3fd5",2;35362393431399e-05,4;61059446997674e-05,0;510481663403779,3;7572753581635e-05,1;45685374159537e-05,0;959746221835503,0;339,1
"53f15bfd39b44c657db96f06b990ff3c",2;35307751294267e-05,7;43334304331788e-05,0;316557099441003,2;60558686299461e-05,2;25060874595435e-05,0;959788034325097,0;623,1
"8c29a39265d92a86f3aba39023bd9ddf",2;35266666407648e-05,4;37017069432261e-05,0;538346629602565,2;3291535869739e-05,2;91307500065587e-05,0;959829839514202,0;536,1
"5913990f2ae9760ed16929c5e05c2376",2;35199017045555e-05,4;97498716809875e-05,0;472763062694369,6;13729691126585e-06,4;28528556541699e-05,0;959871632682504,0;068,1
"03a45b272dd6cd560d659f22846b3d34",2;35119536505649e-05,4;02460815908769e-05,0;584204790160109,2;15842403919753e-05,3;19646696140606e-05,0;959913411727687,0;577,1
"1227e7a66fb5b3e249514259b4571946",2;35090412084023e-05,4;34560382058682e-05,0;540984456452999,1;90915146103434e-05,3;32431083543212e-05,0;959955185597671,0;556,1
