"","average","sd","ratio","ava","avb","cumsum","p","padj"
"dc9dda227ac4ec31aba9e4fd31eba235",0;00087114175119439,0;000731863438264845,1;19030642282084,0;00160717980658434,0;00218405961903358,0;263442400664429,0;061,1
"ac0df9756f170411a7ef60c2adfe1523",0;000859537861984934,0;00148354070115431,0;57938273032627,0;000971675905199902,0;00114507572176368,0;264969737427097,0;781,1
"886a3af4a22ef92d56e945e4b5bffd41",0;000851778112129838,0;000858025472585543,0;992718910270951,0;00263366040417938,0;00199796444799978,0;266483285674161,0;237,1
"34ed328c613f375007ac33114ba723ae",0;000846196731407031,0;000630328094932815,1;3424702757335,0;00192281663172846,0;00233172709105547,0;267986916210393,0;459,1
"e0477003a6318fccbf30c144d6972b22",0;000808612579044274,0;0017472452455278,0;462792834099263,0;00136962782377787,0;000500794692078619,0;269423762419679,0;196,1
"ef5f475eba57b7b4b2a06650b5859d04",0;000795205524454812,0;00105153949170574,0;756229823727189,0;00134858833963074,0;00122163674595955,0;270836785260316,0;712,1
"2e410795f1a280e699c09898f1b092a2",0;000792804852864595,0;000671002838427065,1;18152235350159,0;0013800994772026,0;00145171428154731,0;272245542280752,0;975,1
"8c755ffee870ae73370176b717822a9f",0;000784069772901667,0;00065421239073743,1;19849422603852,0;00170945537596125,0;00168586633076142,0;273638777694355,0;922,1
"3afc13c346e139037ef4512606a08194",0;000775910200264726,0;000620849794917426,1;24975510440158,0;0031030530039364,0;00305568307561738,0;275017514136119,0;785,1
"2654f74ad326ff2a5cf7adbf3fde7d3b",0;000771278792150421,0;000732210941989192,1;053356004289,0;00198037347551343,0;00241963779283648,0;276388020899832,0;245,1
"05c6cadac2a6e5e503b5f42602d8c90f",0;000767523865183262,0;000575732159930037,1;33312661442524,0;00210221765200427,0;00229565265767816,0;277751855429253,0;48,1
"d0566d7177499d5cacdb330361254a8d",0;000766889570594429,0;000686766621034308,1;11666692455066,0;00385584071467518,0;00352582383566775,0;279114562862956,0;459,1
"edf8c12b927287c53b7e4e40336de99f",0;00074625512308305,0;00063052879981,1;18353852085412,0;00160609991591864,0;00167623703257888,0;280440604372265,0;58,1
"21a88c60d51d65970fbc22d019887afb",0;000739309169425079,0;000597248558165304,1;23785844154429,0;00153951731548335,0;00155401526336293,0;281754303423094,0;756,1
"3eb10e2f936225249d7282146e49871e",0;000716458348631922,0;000833685770969843,0;859386562155728,0;00106277438648476,0;00110057649161446,0;283027398214124,0;408,1
"71e266fbf243c7521c6975ebfd8dfae9",0;000714905485261101,0;000930548144756532,0;768262759202156,0;000840682836911197,0;00112790682975839,0;284297733678988,0;426,1
"db05ac1f241ada505007f7abc286f5ae",0;00071044656791497,0;001203782792254,0;590178371452468,0;000649071658488328,0;00107543622505138,0;285560145969451,0;671,1
"bdf8380e9513e68d31aab3758fbf717e",0;000709463013370522,0;000580957361156006,1;22119635761016,0;00150958611032268,0;0015547689931749,0;286820810554455,0;991,1
