"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"060f1a9c302f5478153dde201c22eb7d",1,29,2,28,1,1
"0616625e0eb55ab5d626a4f9c0a4eac6",4,26,1,29,0;353256021409456,1
"06187d9423880b66a98ecc779566a0a7",1,29,0,30,1,1
"061956f1cbee3cb9ee4746feec3b5d7a",11,19,14,16,0;600950466520637,1
"061adc838e2581e70b5d67ff387c12d3",8,22,9,21,1,1
"062184448251e5325f9020794a0dbb9d",4,26,7,23,0;506177594327247,1
"063944c31a02e2c523e0691ee87834ec",3,27,3,27,1,1
"064bf5eccee609a01f36645eb05fbfca",24,6,26,4,0;730642324178498,1
"0659931b467a4eddb3e5492a06c52d44",1,29,1,29,1,1
"065ab068d76b2e6d7add1c38c6eebbc4",9,21,7,23,0;771023976031026,1
"065cd35b2cae7bfb5b8d0c47f8d51236",1,29,0,30,1,1
"0664ab6efa1b7e85f83e11d6c06c13d7",0,30,1,29,1,1
"0667c87130266f261eaa009f1586d489",6,24,3,27,0;471644558965516,1
"0668037261e6f4b0139e129ee43dbfcd",6,24,4,26,0;730642324178498,1
"06697e9bbafd22b11edccf0947f87296",8,22,5,25,0;532092472759053,1
"066a17ccf9cededd7655b6c77572085c",6,24,1,29,0;102789716973482,1
"067938149e160bd209a8607e01c07505",2,28,1,29,1,1
"067d479bd5b3fbc18c70382e18adc63f",1,29,0,30,1,1
"06827fa3ce93d7c7d51f621acf8fb2bd",5,25,11,19,0;143165081321897,1
"06a3660c506c4bbf0e6a4b2660ed2ae6",1,29,1,29,1,1
"06a41880b59092d03e0f06eef52d7d39",1,29,4,26,0;353256021409456,1
"06bf2b5144a18a621cd600a44e81567f",5,25,6,24,1,1
"06c832d444a8d1af5e8c0cb490a4a67e",12,18,10,20,0;789170351739782,1
"06c967c789b2fe22ddd16316df94bc26",27,3,26,4,1,1
"06cc5e35402d5589adb89aa50f3570a3",7,23,3,27,0;298979382156861,1
"06ce16040261cc01de0837819a808490",9,21,10,20,1,1
"06e1fd40e0af694b28bda02c18d4c1f9",2,28,5,25,0;42380990998297,1
"06e78a4f975d2ac6acbb6f64885e974f",5,25,7,23,0;748049793024105,1
"06f2fcf31084d777bfffeb2b3e3fc8a3",1,29,1,29,1,1
"06f6a68aa07b0ca0c6a8cba3c8ec588a",1,29,0,30,1,1
